text,mean_rating,bigram_log_prob,bigram_mean_log_prob,bigram_slor,trigram_log_prob,trigram_mean_log_prob,trigram_slor
"We've still got the Dower House , and Lincolnshire is lovely in May . ’",4.0,-75.01269612552282,-6.251058010460235,5.366635076241224,-74.65142052443206,-6.220951710369338,5.727910677331991
My first real friend was probably a boy called Adam .,4.0,-75.2537767847593,-7.525377678475929,8.322693818626988,-74.56944849512148,-7.456944849512148,9.007022108264806
She was wearing denim overalls and carrying a bucket and brush .,4.0,-64.52511180246285,-5.8659192547693495,18.80935710764976,-60.95564439130348,-5.541422217391226,22.378824518809125
In the next year he had custody of Rochester Castle .,3.8125,-42.554535620641566,-4.255453562064156,16.364702514417978,-41.99638899409981,-4.199638899409981,16.922849140959734
BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .,3.07692307692,-135.18615236073623,-6.144825107306192,19.207013553209833,-135.75742372230806,-6.17079198737764,18.635742191638002
This expression is called the fundamental theorem of Riemannian geometry .,4.0,-65.27414273321381,-6.527414273321381,9.733948222123033,-64.5808343617133,-6.45808343617133,10.42725659362354
"Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .",4.0,-154.25616210091292,-6.170246484036516,32.528849867236175,-148.21993527962903,-5.928797411185161,38.565076688520065
On appointment to office a new minister will take over responsibility for many departmental policies .,3.4,-108.69767396795133,-7.246511597863422,16.981334802321783,-110.35392342534193,-7.356928228356129,15.325085344931182
"When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .",3.75,-162.4644174404181,-7.063670323496439,22.72237021468385,-160.82106245954824,-6.99222010693688,24.365725195553694
Figure shows how the A-measure per unit area varies with radiometer reading .,3.75,-75.99797228681497,-6.333164357234581,12.544483586631571,-75.35002484164646,-6.2791687368038716,13.192431031800083
In some pubs fake hand pumps serve gassy beer .,3.0625,-80.8301773629723,-8.981130818108033,4.80042940187397,-80.15621070625292,-8.906245634028103,5.474396058593342
Preliminary work began last September following the appointment of two countryside officers who are employed full time on the project .,3.78571428571,-149.28603217768529,-7.464301608884265,13.50443131190076,-149.7691145301954,-7.48845572650977,13.02134895939065
"This is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .",3.4375,-131.46586562598577,-5.975721164817535,24.588615432555514,-125.40960631439282,-5.700436650654219,30.644874744148467
Tod features another kind of dream in which he is a woman .,3.0,-61.74842443882133,-5.145702036568444,16.069280846986842,-60.03737345621745,-5.003114454684788,17.780331829590722
Valuable coaching can often come from drama school tutors who can give a fair assessment of the possibilities you may have prior to auditioning .,4.0,-136.40928556213467,-5.683720231755611,25.362053765292217,-137.79452075407988,-5.7414383647533285,23.976818573347003
"Because simulated annealing is a stochastic algorithm , different runs of probeorder will not necessarily produce the same output probe order .",2.5,-149.97888003216718,-7.4989440016083595,12.70589480165043,-151.52368437105687,-7.576184218552844,11.16109046276074
"Although the music was animated , only the arms moved .",3.35714285714,-65.19009837731953,-7.243344264146614,9.942101914529687,-64.28334036769847,-7.142593374188719,10.848859924150744
