text,mean_rating,gpt2_log_prob,gpt2_mean_log_prob,gpt2_slor
"We've still got the Dower House , and Lincolnshire is lovely in May . ’",4.0,-111.45806217193604,-5.866213798522949,1.5206753473585053
My first real friend was probably a boy called Adam .,4.0,-48.585707664489746,-4.416882514953613,29.44235955693304
She was wearing denim overalls and carrying a bucket and brush .,4.0,-63.250197887420654,-4.8653998374938965,29.218466466669824
In the next year he had custody of Rochester Castle .,3.8125,-60.826404094696045,-5.529673099517822,17.520222431086168
BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .,3.07692307692,-149.61018991470337,-5.541118144989014,49.06918255273146
This expression is called the fundamental theorem of Riemannian geometry .,4.0,-54.48544263839722,-3.891817331314087,28.782876806151194
"Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .",4.0,-131.50098752975464,-4.53451681137085,65.11693936293827
On appointment to office a new minister will take over responsibility for many departmental policies .,3.4,-76.54015827178955,-4.502362251281738,42.04021459589474
"When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .",3.75,-146.03108882904053,-5.4085588455200195,47.39100093065926
Figure shows how the A-measure per unit area varies with radiometer reading .,3.75,-88.47128295898438,-5.204193115234375,22.07106982171446
In some pubs fake hand pumps serve gassy beer .,3.0625,-86.58383560180664,-7.871257781982422,6.951103042682007
Preliminary work began last September following the appointment of two countryside officers who are employed full time on the project .,3.78571428571,-105.92880821228027,-4.605600357055664,51.52728778253859
"This is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .",3.4375,-135.56780242919922,-4.841707229614258,42.29017530360957
Tod features another kind of dream in which he is a woman .,3.0,-76.10604763031006,-5.436146259307861,11.428642133019679
Valuable coaching can often come from drama school tutors who can give a fair assessment of the possibilities you may have prior to auditioning .,4.0,-134.13879776000977,-4.790671348571777,61.057037917062985
"Because simulated annealing is a stochastic algorithm , different runs of probeorder will not necessarily produce the same output probe order .",2.5,-132.59944009780884,-4.91109037399292,51.165538830087
"Although the music was animated , only the arms moved .",3.35714285714,-60.89542579650879,-5.535947799682617,9.896217453692827
"But the report also blasts authority bosses for failing to control the activities of 58-year-old Mr Watney , who took early retirement last year .",3.6,-124.94782447814941,-4.1649274826049805,75.04375765191662
Some would of course reply personally ( he had included postage ) .,3.8125,-85.9587893486023,-6.6122145652771,7.602342765048476
"Police are appealing for witnesses to the incident , which happened at 11am on Monday in Windsor Street , Toxteth .",3.72727272727,-83.45194816589355,-3.4771645069122314,75.310528030201
The surface need not be perfectly flat or smooth .,3.8,-43.57057571411133,-4.357057571411133,26.690088227926807
"There are 5,733 empty council houses , almost 2,000 of which have been empty for more than a year .",4.0,-80.85331535339355,-3.3688881397247314,60.82680087479079
Heath ( 3.3 ) sums up one influential and long-established tradition in the study of class differences in education .,4.0,-114.88032341003418,-4.595212936401367,38.19855671445049
And his price — his price can be of enormous use .,3.2,-70.70724105834961,-5.892270088195801,11.879013364269852
"There was a significant improvement in the attendance of miners at the Mansfield clinic , however , since this was much closer to their homes .",3.2,-116.32949495315552,-4.308499813079834,60.45504739179384
‘ Then maybe most of the faults were on my side .,4.0,-71.3206787109375,-5.4862060546875,12.593398573198968
Gere and Basinger star in the erotic thriller Final Analysis which Warner Home Video will released into video libraries by October 18 .,3.0,-154.646746635437,-5.947951793670654,57.49175833773555
"Recently , concern has grown that Michelangelo's ceiling of the Sistine chapel in Rome has been irreparably altered by the Vatican conservation team .",3.76923076923,-119.96762323379517,-4.136814594268799,76.94601378756511
Disillusion me and get my sympathy at the same time .,3.4,-62.07871055603027,-5.1732258796691895,11.569375931732523
The horse shot out like an arrow from a bow . ’,4.0,-70.8839054107666,-5.452608108520508,17.806817305476557
The British Horse Society is anxious to find out why a third of them should have happened in this year alone .,3.76923076923,-102.41017246246338,-4.655007839202881,43.09881171515147
"Made with Pertex fabrics and Quallofil 7 filling , the Kompakt Lite weights only 1.2kg and , in its stuff sack , reduces to 7l .",2.94117647059,-217.07175254821777,-5.866804122924805,-3.7926802226640746
"In exceptional circumstances , your Head of Department will not apply the withdrawal clause if there is a reasonable explanation for failure to notify .",3.8125,-115.14699459075928,-4.605879783630371,62.64185426947509
"‘ Goodness me , who on earth can that be ? ’",4.0,-82.70427703857422,-5.513618469238281,7.641587852912053
Small specimens are sometimes confused with Synodontis petricolor .,3.8,-70.57329082489014,-5.04094934463501,8.114099134228965
"They called us out into the stadium too early and it was hot , very hot .",4.0,-75.04581499099731,-4.414459705352783,36.3274904547841
"The review copy is a solid black , but the basic model comes oil-finished .",4.0,-101.56241750717163,-5.974259853363037,5.042182129938055
"In their bedroom something crashed to the floor , which immediately woke one of the twins who began to howl .",3.6,-110.81042671203613,-5.036837577819824,31.37073782251676
Wanting a man who was such a louse .,2.61538461538,-53.712149143218994,-4.882922649383545,5.883013113766722
This essential motion can not take place except in a liquid medium .,3.8,-67.75260162353516,-5.211738586425781,25.09399803190702
Upper Stowe was once called Butter Stowe because the London carrier collected butter here .,3.4,-116.27094554901123,-6.459496974945068,16.578328443097774
The induction of adhesion of particular T-cell subsets by specific cytokines would make the process of lymphocyte recruitment more flexible and selective .,3.72727272727,-118.46650838851929,-4.085052013397217,71.56067682601264
‘ If I'd been in your shoes I'd have walked right out on him . ’,4.0,-81.34160041809082,-4.067080020904541,40.200649527326135
"‘ But it was lost — walls were built over it , the paper had disintegrated . ’",3.75,-113.28382444381714,-5.394467830657959,24.804767255174767
"You can visit the village — it has a pub , beach and a shop — then retrace your steps through the woods to reach the Saints' Way .",4.0,-130.52334928512573,-4.21043062210083,88.17465747381544
He's amongst the qualifiers for the Lancome trophy at Paris .,4.0,-78.75248861312866,-6.0578837394714355,13.73481894144949
"‘ Steal for you ? ’ he answered Laura's astonished protest , ‘ I'd do time .",3.0625,-146.06275081634521,-6.63921594619751,2.061740658675973
The previous maximum flue length for the 10.5kW and 18kW output boilers was three metres .,3.8,-111.87678909301758,-4.661532878875732,24.364963869850044
"Rising slowly like an automaton , she made her way over to the counter and picked up the receiver .",4.0,-90.49195671081543,-4.1132707595825195,43.47117305704569
Has he really offered you the job back ? ,4.0,-52.33370304107666,-5.233370304107666,6.75295426125362
"They were like cogs working together , fitting into place when and where they were needed .",4.0,-78.75820541381836,-4.375455856323242,39.75280442763065
"Agnes , now fully dressed , went into the hall .",4.0,-71.41979026794434,-5.951649188995361,3.5432781197402647
"Supplement per person per night £135 for the first night , £105 each additional night ( minimum 2 persons ) .",3.75,-108.13643980026245,-4.701584339141846,57.036939359878886
"You should obtain a Certificate of Posting , which is available free of charge at the counter .",4.0,-71.09664297103882,-3.7419285774230957,51.26516873366569
The modernization and industrialization of nineteenth century Britain changed the population map .,3.8,-73.90592384338379,-5.278994560241699,26.014340014935925
Pallister's rivals are : Steve Bruce ( Manchester United ) ; Stuart Pearce ( Nottingham Forest ; Paul McGrath ( Aston Villa ) ; Gary Lineker ( Spurs ) ; Ray Houghton ( Liverpool ) .,3.4,-153.08762502670288,-3.5601773262023926,188.91952651404688
‘ This shows the company didn't learn anything from this lesson .,4.0,-69.59788131713867,-4.971277236938477,21.14251656369423
"Here we have an uninterrupted view of the prospect , and what a glorious prospect it is , stretching far away for many miles on every hand .",3.4375,-114.21135902404785,-4.078977108001709,73.83689714241495
"Two years before , two TA soldiers met at an Army open day .",3.57142857143,-91.54659461975098,-6.5390424728393555,11.918969738877294
Orthodox Judaism continues to teach an elaborate separation of the menstruating woman from contact with the men of her family .,4.0,-103.24065732955933,-4.488724231719971,53.50457632602496
A recent architectural survey revealed problems at the 60-year-old Salutation Church in Salutation Road .,4.0,-93.16918516159058,-4.4366278648376465,35.36978149000208
The fireplace in question was set into a huge thick wall that partly divided the main room .,3.47058823529,-89.37468910217285,-4.9652605056762695,38.10749242937567
